num_voters,num_questions,num_choices,tally_time,decrypt_time
100,6,6,0.135,0.531
100,6,7,0.163,0.634
100,6,7,0.162,0.633
100,6,7,0.163,0.633
100,6,7,0.163,0.633
100,6,7,0.151,0.624
100,6,9,0.212,0.807
100,6,9,0.195,0.783
100,6,9,0.195,0.783
100,6,9,0.209,0.810
100,6,9,0.196,0.785
100,6,9,0.198,0.781
100,6,9,0.194,0.796
100,6,9,0.194,0.790
100,6,9,0.195,0.787
100,6,9,0.195,0.790
100,6,10,0.221,0.864
100,6,10,0.218,0.872
100,6,10,0.216,0.860
100,6,10,0.219,0.866
100,6,10,0.221,0.900
100,7,1,0.038,0.115
100,7,1,0.038,0.111
100,7,1,0.034,0.105
100,7,1,0.033,0.107
100,7,1,0.033,0.104
100,7,2,0.057,0.202
100,7,2,0.057,0.208
100,7,2,0.056,0.202
100,7,2,0.056,0.205
100,7,2,0.057,0.205
100,7,3,0.079,0.306
100,7,3,0.079,0.302
100,7,3,0.078,0.300
100,7,3,0.081,0.297
100,7,3,0.081,0.399
100,7,4,0.103,0.399
100,7,4,0.110,0.416
100,7,4,0.101,0.403
100,7,4,0.100,0.400
100,7,4,0.100,0.406
100,7,5,0.130,0.508
100,7,5,0.124,0.500
100,7,5,0.124,0.490
100,7,5,0.125,0.502
100,7,5,0.127,0.491
100,7,6,0.153,0.587
100,7,6,0.146,0.592
100,7,6,0.148,0.588
100,7,6,0.150,0.606
100,7,6,0.153,0.600
100,7,7,0.174,0.700
100,7,7,0.170,0.690
100,7,7,0.172,0.682
100,7,7,0.175,0.682
100,7,7,0.173,0.703
100,7,9,0.221,0.903
100,7,9,0.221,0.898
100,7,9,0.218,0.877
100,7,9,0.219,0.866
100,7,9,0.219,0.888
100,7,9,0.221,0.872
100,7,9,0.215,0.864
100,7,9,0.218,0.875
100,7,9,0.218,0.865
100,7,9,0.216,0.880
100,7,10,0.234,1.074
100,7,10,0.241,0.954
100,7,10,0.240,0.997
100,7,10,0.245,0.980
100,7,10,0.244,0.964
100,9,1,0.041,0.136
100,9,1,0.040,0.133
100,9,1,0.039,0.136
100,9,1,0.039,0.131
100,9,1,0.042,0.133
100,9,2,0.069,0.255
100,9,2,0.070,0.255
100,9,2,0.074,0.258
100,9,2,0.068,0.255
100,9,2,0.071,0.249
100,9,3,0.095,0.386
100,9,3,0.095,0.370
100,9,3,0.097,0.386
100,9,3,0.097,0.376
100,9,3,0.097,0.385
100,9,4,0.127,0.498
100,9,4,0.130,0.513
100,9,4,0.127,0.507
100,9,4,0.130,0.537
100,9,4,0.125,0.520
100,9,5,0.154,0.619
100,9,5,0.154,0.645
100,9,5,0.154,0.654
100,9,5,0.155,0.637
100,9,5,0.157,0.637
100,9,6,0.180,0.758
100,9,6,0.180,0.745
100,9,6,0.188,0.766
100,9,6,0.181,0.768
100,9,6,0.185,0.766
100,9,7,0.216,0.903
100,9,7,0.216,0.883
100,9,7,0.210,0.900
100,9,7,0.205,0.879
100,9,7,0.203,0.867
100,9,9,0.257,1.113
